127.0.0.1 - - [29/Apr/2021:10:01:59 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/ HTTP/1.1" 200 18467
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/css/owl.carousel.min.css;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 2941
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/css/flaticon.css;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 1101
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/css/slicknav.css;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 5993
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/css/animate.min.css;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 56058
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/css/bootstrap.min.css;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 173047
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/css/magnific-popup.css;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 7302
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/css/fontawesome-all.min.css;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 34684
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/css/themify-icons.css;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 17535
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/css/slick.css;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 1895
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/css/nice-select.css;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 4145
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/css/style.css;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 200772
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/js/vendor/modernizr-3.5.0.min.js;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 8638
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/js/popper.min.js;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 21009
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/js/vendor/jquery-1.12.4.min.js;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 97168
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/js/jquery.slicknav.min.js;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 8420
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/js/bootstrap.min.js;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 48953
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/js/owl.carousel.min.js;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 44251
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/fonts/fa-regular-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/fonts/fa-solid-900.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/fonts/Flaticon.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/fonts/fa-brands-400.eot? HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/js/slick.min.js;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 33311
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/js/wow.min.js;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 8416
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/js/animated.headline.js;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 5685
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/js/jquery.scrollUp.min.js;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 2041
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/js/jquery.nice-select.min.js;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 2945
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/js/jquery.sticky.js;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 10373
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/js/contact.js;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 3108
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/js/jquery.magnific-popup.js;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 20219
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/js/jquery.form.js;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 42269
0:0:0:0:0:0:0:1 - - [29/Apr/2021:10:02:00 +0900] "GET /ShoppingMall/resources/js/jquery.validate.min.js;jsessionid=2391115490D68278292A0771499D5008 HTTP/1.1" 200 21069
